NIN ID,Facility Name,FACILITY_TYPE,State,District,Taluka,Block,Entry Month,Individuals empanelled,Community Based Assessment Checklist filled,HTN Individuals screened Male,HTN Individuals screened Female,HTN Individuals screened Other,HTN Newly diagnosed Male,HTN Newly diagnosed Female,HTN Newly diagnosed Other,HTN On treatment Male,HTN On treatment Female,HTN On treatment Other,DM Individuals screened Male,DM Individuals screened Female,DM Individuals screened Other,DM Newly diagnosed Male,DM Newly diagnosed Female,DM Newly diagnosed Other,DM On treatment Male,DM On treatment Female,DM On treatment Other,OC Individuals screened Male,OC Individuals screened Female,OC Individuals screened Other,OC Newly diagnosed Male,OC Newly diagnosed Female,OC Newly diagnosed Other,OC On treatment male,OC On treatment Female,OC On treatment Other,BC Individuals screened female,BC Newly diagnosed female,BC On treatment female,CC Individuals screened female,CC Newly diagnosed female,CC On treatment female,Individuals referred for screening male,Individuals referred for screening female,Individuals referred for screening other,Newly diagnosed Male,Newly diagnosed Female,Newly diagnosed Other,On treatment Male,On treatment Female,On treatment Other,Total Patients received antihypertensive medicines at this centre,Total Patients received ant-diabetic medicines at this centre,Medicines_TPR_AO_M,Total TB patients received DOTS from the centre,Medicines_CSOM_EOM,Availability of functional BP apparatus,Availability of functional glucometer,Closing stock of glucostrips,Performance/team based incentives for MO/SN/CHO,Team based incentives for ASHA/MPW,JAS monthly meeting conducted,Data Source,Entry Date,Entry Update Date,Facility Type
5682713887,HSC HEMJA,SHC,Jharkhand,Palamu,HUSSAINABAD,HUSSAINABAD,31-05-24,54,0,4,3,0,0,0,0,4,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,7,3,0,0,0,Yes,Yes,100,No,No,No,Android APP,21-06-24 14:08,N/A,N/A
3643168747,HSC TARAPUR,SHC,Jharkhand,Pakaur,HIRANPUR,HIRANPUR,31-05-24,146,146,62,84,0,0,1,0,0,1,0,62,84,0,0,8,0,0,0,0,62,84,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,15,No,No,Yes,Android APP,21-06-24 11:41,N/A,N/A
8858725651,HSC CHUGLAMO,SHC,Jharkhand,Hazaribagh,BARKATHA,BARKATHA,31-05-24,100,100,30,75,0,2,4,0,2,4,0,30,75,0,1,3,0,1,3,0,30,75,0,0,0,0,0,0,0,75,0,0,75,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,Yes,Yes,200,No,No,No,Android APP,21-06-24 9:24,N/A,N/A
6414216116,HSC DEOPUR,SHC,Jharkhand,Pakaur,HIRANPUR,HIRANPUR,31-05-24,106,106,49,57,0,0,0,0,6,6,0,49,57,0,0,0,0,6,5,0,49,57,0,0,0,0,0,0,0,57,0,0,3,0,0,5,3,0,2,0,0,5,1,0,4,3,N/A,0,N/A,Yes,Yes,20,No,No,Yes,WEB Portal,21-06-24 9:08,N/A,N/A
3141444780,HSC SONAJORI,SHC,Jharkhand,Pakaur,PAKAUR,PAKUR,31-05-24,125,0,45,80,0,0,0,0,4,5,0,45,80,0,0,0,0,4,4,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,0,0,0,0,3,5,0,9,8,0,0,0,Yes,Yes,50,No,No,No,Android APP,20-06-24 22:35,20-06-24 22:35,N/A
4358854539,HSC JHIKARHATTI,SHC,Jharkhand,Pakaur,PAKAUR,PAKUR,31-05-24,422,0,63,79,0,1,1,0,8,12,0,63,79,0,1,0,0,9,9,0,63,79,0,0,0,0,0,0,0,0,0,0,0,0,0,58,82,0,2,4,0,18,10,0,20,18,0,28,0,Yes,Yes,42,No,No,Yes,Android APP,20-06-24 19:31,N/A,N/A
8867425418,HSC NIMTUR,SHC,Jharkhand,Simdega,BANO,BANO,31-05-24,0,0,26,36,0,1,0,0,1,0,0,26,36,0,0,0,0,0,0,0,26,36,0,0,0,0,0,0,0,36,0,0,36,0,0,3,5,0,0,0,0,0,2,0,1,0,0,2,0,Yes,Yes,80,No,No,Yes,Android APP,20-06-24 17:29,N/A,N/A
2383644420,HSC RAMPUR,SHC,Jharkhand,Ranchi,NAMKUM,NAMKUM,31-05-24,12,12,46,113,0,1,0,0,7,6,0,46,113,0,4,1,0,4,8,0,46,113,0,0,0,0,0,0,0,113,0,0,113,0,0,1,1,0,0,0,0,0,0,0,13,12,0,0,0,Yes,Yes,214,No,No,Yes,Android APP,20-06-24 13:38,N/A,N/A
1124811538,UHWC GANDHI NAGAR,UHWCs,Jharkhand,Deogarh,DEOGHAR,JASIDIH,31-05-24,0,0,36,42,0,13,19,0,15,10,0,25,21,0,8,11,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,25,16,0,0,0,Yes,Yes,"2,300",No,No,No,Android APP,20-06-24 12:06,N/A,N/A
7778224142,HSC JAMGAI,SHC,Jharkhand,Gumla,RAIDIH,RAIDIH,31-05-24,62,59,32,27,0,3,1,0,18,11,0,32,27,0,1,2,0,11,6,0,32,27,0,0,0,0,0,0,0,27,0,0,27,0,0,1,1,0,0,0,0,1,0,0,29,17,0,0,0,Yes,Yes,36,No,No,No,Android APP,20-06-24 11:31,N/A,N/A
